tconst	averageRating	numVotes
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.2	12
tt0001737	7.0	1464
tt0001738	7.0	21
tt0001740	6.5	981
tt0001741	4.2	12
tt0001742	5.6	7
tt0001747	4.7	10
tt0001753	5.3	7
tt0001762	4.8	53
tt0001769	5.2	32
tt0001771	5.4	112
tt0001772	5.6	7
tt0001776	6.7	150
tt0001777	4.4	5
tt0001779	7.0	9
tt0001787	8.5	6
tt0001789	6.3	210
tt0001790	5.8	21
tt0001803	3.9	8
tt0001812	5.8	6
tt0001815	7.1	12
tt0001817	5.2	63
tt0001832	5.7	38
tt0001840	4.9	22
tt0001845	5.1	7
tt0001848	4.3	26
tt0001852	4.1	7
tt0001856	4.6	28
tt0001857	5.6	176
tt0001862	5.3	24
tt0001865	5.9	31
tt0001868	5.3	7
tt0001871	4.5	30
tt0001872	7.0	21
tt0001877	5.2	46
tt0001889	4.0	9
tt0001892	5.9	179
tt0001896	5.0	41
tt0001910	5.4	43
tt0001911	4.1	7
tt0001913	5.6	173
tt0001915	5.9	78
tt0001923	7.3	15
tt0001924	5.4	5
tt0001925	5.1	17
tt0001926	4.3	6
tt0001928	4.5	33
tt0001941	5.1	55
tt0001949	5.6	16
tt0001956	6.1	7
tt0001957	5.1	41
tt0001963	5.5	103
tt0001964	6.1	51
tt0001967	5.9	8
tt0001969	5.4	5
tt0001973	6.1	224
tt0001978	5.6	12
tt0001987	6.1	11
tt0001989	5.0	5
tt0001993	4.0	11
tt0001998	4.2	15
tt0002020	5.3	89
tt0002026	4.0	7
tt0002029	6.1	35
tt0002031	4.6	8
tt0002033	5.5	28
tt0002034	4.9	17
tt0002041	3.9	14
tt0002045	4.2	72
tt0002054	5.8	115
tt0002056	6.8	105
tt0002064	4.8	32
tt0002065	6.1	32
tt0002066	3.9	51
tt0002068	5.1	14
tt0002070	5.0	23
tt0002071	5.0	5
tt0002078	5.2	24
tt0002082	6.2	309
tt0002083	6.0	190
tt0002093	4.6	11
tt0002095	4.9	11
tt0002097	4.2	11
tt0002098	5.7	109
tt0002101	5.2	431
tt0002107	5.1	11
tt0002113	6.9	777
tt0002114	4.2	6
tt0002121	4.9	15
tt0002122	6.1	239
tt0002124	5.1	299
tt0002126	6.3	45
tt0002130	7.0	2104
tt0002132	5.8	6
tt0002133	5.7	149
tt0002136	5.8	56
tt0002139	5.5	8
tt0002143	5.9	483
tt0002144	5.4	11
tt0002145	8.7	7
tt0002151	5.0	20
tt0002153	5.7	43
tt0002159	4.4	19
tt0002160	6.4	68
tt0002162	4.4	36
tt0002167	5.0	10
tt0002172	4.8	11
tt0002176	5.9	232
tt0002177	5.6	19
tt0002179	3.8	19
tt0002181	6.3	131
tt0002186	6.3	80
tt0002190	6.2	325
tt0002196	4.4	7
tt0002197	5.6	218
tt0002198	6.3	19
tt0002199	5.7	461
tt0002200	6.2	71
tt0002202	4.8	9
tt0002203	5.3	35
tt0002206	5.6	12
tt0002208	6.7	1051
tt0002212	5.2	13
tt0002214	5.8	20
tt0002216	5.5	15
tt0002220	4.1	13
tt0002221	6.8	318
tt0002224	5.1	116
tt0002226	5.5	37
tt0002230	6.5	75
tt0002232	5.5	37
tt0002233	4.7	102
tt0002234	8.5	13
tt0002253	4.2	5
tt0002255	4.7	29
tt0002259	5.2	5
tt0002260	6.3	1035
tt0002261	6.2	12
tt0002266	5.6	5
tt0002268	5.1	7
tt0002273	4.7	9
tt0002277	6.3	19
